epoch,train_loss,val_loss,val_iou,val_f1,val_pa,lr,time_sec
37,0.05460574239855412,0.06591297537747738,0.8504977255268434,0.9190328804265081,0.9873925394716516,0.001,980.6548092365265
38,0.05431695759670413,0.06588421907045144,0.8506281083136533,0.9191133983894787,0.9874092031896642,0.001,980.1325063705444
39,0.053814805576607116,0.06559370510873541,0.8511357560621954,0.9194086921953522,0.9874559313850065,0.001,981.4644751548767
40,0.053544409951657115,0.06568915180993819,0.8507969535030095,0.9192127986291868,0.9874045498075739,0.0005,990.6818041801453
41,0.049775725647653125,0.06358955177453766,0.8548035204938028,0.9215417227386373,0.9877765497802633,0.0005,987.2510507106781
42,0.04899883418853622,0.06375967472198263,0.8549547103126492,0.9216269597543024,0.9878113892226092,0.0005,989.1333367824554
43,0.048599778923873356,0.06338969684016388,0.8556411142370343,0.9220282327284856,0.9878430569593886,0.0005,989.4044578075409
44,0.04817617960882879,0.06379565931197288,0.8546820918543149,0.9214692326773585,0.9877805846982297,0.0005,990.4281485080719
45,0.047848658864459714,0.06363684357663171,0.8552478670546438,0.9218000751153558,0.9878263631753162,0.0005,991.0324261188507
46,0.047582536279480524,0.06439522645576337,0.8547303275724428,0.9214989980765148,0.9877868634937084,0.0005,991.6817376613617
47,0.04730450332542427,0.06392500627027677,0.8548364668293337,0.9215623599238101,0.9877900225398815,0.00025,992.0348517894745
48,0.04554093765153542,0.06347965577666738,0.8557934937751399,0.9221130517204251,0.9878834905350102,0.00025,993.734913110733
49,0.04513598478116887,0.06315719451656383,0.8561825314454273,0.9223401464719688,0.987914160553333,0.00025,996.061717748642
50,0.04487738012075864,0.06360150267065098,0.8559024096590228,0.9221775813967781,0.9878946223617655,0.00025,1002.8608949184418
51,0.044678832761811345,0.06364683248102665,0.8557450230670186,0.9220865988625889,0.9878598396229533,0.00025,1024.7409417629242
