epoch,train_loss,val_loss,val_iou,val_f1,val_pa,lr,time_sec
1,0.2521093838122182,0.218575760854029,0.5867958381376436,0.7385892841668256,0.9558902074277928,0.001,1009.4476919174194
2,0.2075129055058745,0.2050192406219718,0.6077817065262161,0.7549655342524031,0.9595121701734256,0.001,1011.960409641266
3,0.1942247367962666,0.182644631186154,0.6496121535259011,0.7865989255694161,0.964999112407718,0.001,1016.1220932006836
4,0.1574914828786171,0.133809559409861,0.7416392659719011,0.8512818288486615,0.9769149628360716,0.001,1034.592973470688
5,0.1189023571741569,0.1111635544988433,0.7820414655503973,0.8773931357185397,0.9808154140425994,0.001,1016.2000012397766
6,0.1055709631787246,0.1044920357191457,0.7919702972986001,0.8836554367985345,0.9818329692414376,0.001,1021.496279001236
7,0.0970794021914617,0.0945739156311064,0.8073670273333524,0.8931951367222102,0.9833838251312222,0.001,1026.9379949569702
8,0.09057087540868523,0.09290133162805464,0.8095864381937854,0.8945600609336279,0.9835540375350851,0.001,1082.958809375763
9,0.0851631354536919,0.0894507744011625,0.8138526000280296,0.8971590998425948,0.9840233107056238,0.001,1015.3823068141936
10,0.0823338005974096,0.0824983208481453,0.8249930309510864,0.903920770218942,0.9850389820284547,0.001,1032.0885798931122
11,0.0792683897187977,0.0823706033087409,0.8243509243547389,0.9035330093012448,0.9849779566304874,0.001,1040.173053026199
12,0.07616231208447162,0.0811349920664741,0.8267844411651645,0.9049884850999951,0.9851917935683664,0.001,984.569198846817
13,0.07467836359933781,0.07722610134664362,0.832833844739779,0.9086106240221884,0.9857847954319642,0.001,983.1085934638977
14,0.07268097868196549,0.07689178646006416,0.8326136295774341,0.90848134260262,0.9857621361724044,0.001,982.7154951095581
15,0.0710794333199875,0.07611327380996889,0.8341577496148843,0.9094005366869732,0.9859008232576657,0.001,982.9307444095612
16,0.06988294182829266,0.07529816647942088,0.8353943787844835,0.9101331740354015,0.9859263496061342,0.001,981.6175200939178
17,0.0691794057296017,0.07318151305404912,0.8392571893940984,0.9124231412347439,0.9864215278519993,0.001,976.7751519680023
18,0.06766675939823787,0.07371393790616926,0.8380031728111537,0.9116877924024531,0.986211020334632,0.001,976.5301060676575
19,0.06649648545742563,0.070943639374676,0.8429582155911268,0.9146127772014753,0.9866514103075045,0.001,976.792044878006
20,0.06554657092875266,0.07051309077810924,0.8430023691822998,0.9146401705467595,0.986693062877233,0.001,977.0709331035614
21,0.06459386086487394,0.06984814538298982,0.8446325063705444,0.9155968649197469,0.9868237254893886,0.001,976.6434273719788
22,0.06379115825617965,0.06969016853027639,0.8449072146837691,0.9157549578004178,0.9868955329983635,0.001,976.4163324832916
23,0.06307023869530393,0.06871412452145488,0.8468549359688716,0.9169022005743686,0.987034575865332,0.001,976.5261042118073
24,0.06214070633717438,0.06893753995541978,0.8462779656448195,0.9165658338934974,0.9870154854998124,0.001,976.4255783557892
25,0.06166811604199447,0.06781433463360356,0.8479696488485927,0.9175585455599085,0.9871785609068069,0.001,976.6855628490448
26,0.060578430238304525,0.06742702675076713,0.8483230904140303,0.9177645233880102,0.9872082395363698,0.001,976.9810621738434
27,0.06011172972608533,0.06709967683835895,0.8488245717192118,0.9180582318685752,0.9872598371147054,0.001,976.6708137989044
28,0.059387233815940584,0.06754582119792436,0.8481797222542552,0.9176795282195099,0.9871726162665713,0.001,976.6579868793488
29,0.05884424965887323,0.06672227320022288,0.8497195024933435,0.9185792091673455,0.9873344729431962,0.001,976.9456374645233
30,0.058129951069094826,0.0682943921898846,0.8472498133119228,0.9171373696453804,0.9870872030743455,0.001,978.3208413124084
31,0.057650093780280506,0.0666321119112251,0.8502934044968765,0.9189112948632874,0.9873700835536011,0.001,978.7695322036743
32,0.05714618651046029,0.06611252811828018,0.850775579171898,0.9191974918399237,0.987425294597592,0.001,979.7450275421143
33,0.05681543359826282,0.06567479752465687,0.8514311941324082,0.919582999649301,0.987479855528975,0.001,980.3085579872131
34,0.056187699575483155,0.06636224800836196,0.8494766006427529,0.9184328159399792,0.9872603471827718,0.001,978.8371241092682
35,0.055726347756975395,0.06586118159502481,0.8508121896106585,0.9192202639790763,0.9874186550093963,0.001,979.2456533908844
36,0.05521460369826976,0.0655794450271446,0.8517523236506808,0.9197659724581558,0.987502100193395,0.001,981.4008605480194
